horizon_minutes,result_type,cost_bps,capacity_quote,event_count,mean_net_return,median_net_return,win_rate,t_stat
5,bootstrap_draw,8,10000,8937,-0.0010575041336750666,,,
5,bootstrap_draw,8,10000,8937,-0.0010564313239556364,,,
5,bootstrap_draw,8,10000,8937,-0.0010655733362180991,,,
5,bootstrap_draw,8,10000,8937,-0.0010455578147484346,,,
5,bootstrap_draw,8,10000,8937,-0.0010678610478606545,,,
5,bootstrap_draw,8,10000,8937,-0.0010587415038703367,,,
5,bootstrap_draw,8,10000,8937,-0.0010716948489481945,,,
5,bootstrap_draw,8,10000,8937,-0.0010571216937116138,,,
5,bootstrap_draw,8,10000,8937,-0.0010657793082861136,,,
5,bootstrap_draw,8,10000,8937,-0.001066689358319103,,,
5,bootstrap_draw,8,10000,8937,-0.0010594957079287,,,
5,bootstrap_draw,8,10000,8937,-0.0010507421236164336,,,
5,bootstrap_draw,8,10000,8937,-0.0010550891571804014,,,
5,bootstrap_draw,8,10000,8937,-0.001048947002933491,,,
5,bootstrap_draw,8,10000,8937,-0.0010523974243757841,,,
5,bootstrap_draw,8,10000,8937,-0.00105510773383092,,,
5,bootstrap_draw,8,10000,8937,-0.0010713282810386078,,,
5,bootstrap_draw,8,10000,8937,-0.0010650272868239303,,,
5,bootstrap_draw,8,10000,8937,-0.0010556318871562894,,,
5,bootstrap_draw,8,10000,8937,-0.0010563605744066636,,,
5,bootstrap_draw,8,10000,8937,-0.0010651783795219375,,,
5,bootstrap_draw,8,10000,8937,-0.001067417769780945,,,
5,bootstrap_draw,8,10000,8937,-0.0010615117127409466,,,
5,bootstrap_draw,8,10000,8937,-0.0010563234308764741,,,
5,bootstrap_draw,8,10000,8937,-0.0010638396130169393,,,
5,bootstrap_draw,8,10000,8937,-0.0010583606473899883,,,
5,bootstrap_draw,8,10000,8937,-0.0010527770838194294,,,
5,bootstrap_draw,8,10000,8937,-0.0010587468227832041,,,
5,bootstrap_draw,8,10000,8937,-0.0010532623683731917,,,
5,bootstrap_draw,8,10000,8937,-0.0010698111278714148,,,
5,bootstrap_draw,8,10000,8937,-0.0010530972521674274,,,
5,bootstrap_draw,8,10000,8937,-0.0010658296558772036,,,
5,bootstrap_draw,8,10000,8937,-0.0010602654218877026,,,
5,bootstrap_draw,8,10000,8937,-0.001053445193664499,,,
5,bootstrap_draw,8,10000,8937,-0.0010634141353243157,,,
5,bootstrap_draw,8,10000,8937,-0.0010586626094078737,,,
5,bootstrap_draw,8,10000,8937,-0.0010613286495750863,,,
5,bootstrap_draw,8,10000,8937,-0.0010708040654679864,,,
5,bootstrap_draw,8,10000,8937,-0.0010567868730615856,,,
5,bootstrap_draw,8,10000,8937,-0.0010666488018716814,,,
5,bootstrap_draw,8,10000,8937,-0.0010654801614594668,,,
5,bootstrap_draw,8,10000,8937,-0.00106393949065278,,,
5,bootstrap_draw,8,10000,8937,-0.0010539451759224246,,,
5,bootstrap_draw,8,10000,8937,-0.001062540820510836,,,
5,bootstrap_draw,8,10000,8937,-0.0010738862432075615,,,
5,bootstrap_draw,8,10000,8937,-0.0010549817580536775,,,
5,bootstrap_draw,8,10000,8937,-0.0010542074711021288,,,
5,bootstrap_draw,8,10000,8937,-0.0010643849457824318,,,
5,bootstrap_draw,8,10000,8937,-0.001061220180699715,,,
5,bootstrap_draw,8,10000,8937,-0.001054992297757652,,,
5,bootstrap_draw,8,10000,8937,-0.001053247854214224,,,
5,bootstrap_draw,8,10000,8937,-0.001069591235751696,,,
5,bootstrap_draw,8,10000,8937,-0.0010536659064310269,,,
5,bootstrap_draw,8,10000,8937,-0.0010528209239009335,,,
5,bootstrap_draw,8,10000,8937,-0.0010574611997837694,,,
5,bootstrap_draw,8,10000,8937,-0.0010636018960675762,,,
5,bootstrap_draw,8,10000,8937,-0.0010570763673346517,,,
5,bootstrap_draw,8,10000,8937,-0.0010661759262569047,,,
5,bootstrap_draw,8,10000,8937,-0.0010632742775856306,,,
5,bootstrap_draw,8,10000,8937,-0.0010587887320847036,,,
5,bootstrap_draw,8,10000,8937,-0.0010561745699074541,,,
5,bootstrap_draw,8,10000,8937,-0.0010616669679455967,,,
5,bootstrap_draw,8,10000,8937,-0.0010594679509415156,,,
5,bootstrap_draw,8,10000,8937,-0.0010620635568596426,,,
5,bootstrap_draw,8,10000,8937,-0.0010614607606391749,,,
5,bootstrap_draw,8,10000,8937,-0.0010710085404888846,,,
5,bootstrap_draw,8,10000,8937,-0.0010553245387335667,,,
5,bootstrap_draw,8,10000,8937,-0.001073277048508042,,,
5,bootstrap_draw,8,10000,8937,-0.0010573662752411575,,,
5,bootstrap_draw,8,10000,8937,-0.0010550833042057962,,,
5,bootstrap_draw,8,10000,8937,-0.0010530766988798915,,,
5,bootstrap_draw,8,10000,8937,-0.0010709011763007919,,,
5,bootstrap_draw,8,10000,8937,-0.0010516313921559843,,,
5,bootstrap_draw,8,10000,8937,-0.0010435972111268504,,,
5,bootstrap_draw,8,10000,8937,-0.0010691058942569709,,,
5,bootstrap_draw,8,10000,8937,-0.0010548259243144092,,,
5,bootstrap_draw,8,10000,8937,-0.0010563875598889388,,,
5,bootstrap_draw,8,10000,8937,-0.001069840796909252,,,
5,bootstrap_draw,8,10000,8937,-0.0010551598068016857,,,
5,bootstrap_draw,8,10000,8937,-0.001064901524710996,,,
5,bootstrap_draw,8,10000,8937,-0.0010631366019612052,,,
5,bootstrap_draw,8,10000,8937,-0.0010683909654457062,,,
5,bootstrap_draw,8,10000,8937,-0.0010484889523892397,,,
5,bootstrap_draw,8,10000,8937,-0.0010609645098355086,,,
5,bootstrap_draw,8,10000,8937,-0.0010666573175308707,,,
5,bootstrap_draw,8,10000,8937,-0.001058318059114879,,,
5,bootstrap_draw,8,10000,8937,-0.0010652227116932104,,,
