draw,beta_binance_to_okx,beta_okx_to_binance,beta_difference_bo_minus_ob
418,-0.017170616485095217,-0.03775743650424034,0.020586820019145125
419,-0.005385666254733804,-0.06087870762710998,0.05549304137237618
420,-0.015978470160459623,-0.036767396175834514,0.02078892601537489
421,-0.02361198143989314,-0.028228678419764907,0.004616696979871767
422,-0.009437696425420264,-0.0562953239342987,0.04685762750887844
423,-0.012918311866790487,-0.013913304014897366,0.0009949921481068793
424,-0.013042833537986933,-0.0466294268621185,0.03358659332413157
425,-0.009546235346716014,-0.05081457604499686,0.04126834069828085
426,-0.02332528971183842,-0.033496551672108875,0.010171261960270454
427,-0.005719416054472412,-0.03636113674446101,0.0306417206899886
428,-0.012318531484948212,-0.035319541458652404,0.02300100997370419
429,-0.014069555300264524,-0.03385719953766255,0.019787644237398025
430,-0.010549471124063087,-0.05434226179469255,0.04379279067062947
431,-0.005075377122426352,-0.03475566788872667,0.02968029076630032
432,-0.013125608317106716,-0.026452028559901627,0.013326420242794911
433,-0.013080698529518212,-0.03879479498606017,0.02571409645654196
434,-0.018748085008550675,-0.059424566850602975,0.0406764818420523
435,-0.00843134385183036,-0.040815536272049154,0.032384192420218796
436,-0.029541747471285264,-0.049042111177038064,0.0195003637057528
437,-0.025326231285160004,-0.028722742813316555,0.003396511528156551
438,-0.016567883975094386,-0.023062570312705918,0.006494686337611532
439,-0.028379329899639472,-0.04918954199599496,0.02081021209635549
440,-0.007921296160274422,-0.029526342769038986,0.021605046608764562
441,-0.0026479090035824633,-0.029400605707575796,0.026752696703993332
442,-0.025629775348931946,-0.02334319565082284,-0.0022865796981091056
